idea,descripcion,edad minima,edad maxima,nivel dificuldad,componentes
El Explorador de la Jungla Perdida,"¡Estás atrapado en una jungla espesa y necesitas encontrar el camino al campamento antiguo! Tu dispositivo es tu única guía. Debes programarlo para que reproduzca un sonido de 'pájaro cantor' solo cuando estés mirando hacia el Norte y manteniendo el dispositivo plano (simulando caminar en terreno seguro). Si te inclinas demasiado (caída) o cambias de dirección, sonará un 'rugido de tigre'.",10,12,2,"Audio Player, Compass, Inclination"
DJ 360: La Fiesta Giratoria,"Conviértete en el DJ del futuro. Tu misión es mezclar la música moviendo tu cuerpo. Programa el sistema para que al mirar al Este suene música Pop, y al Oeste suene Rock. Usa la inclinación hacia adelante para subir el volumen de la multitud. ¡Mantén el ritmo y no dejes que la fiesta se detenga!",12,15,2,"Audio Player, Compass, Inclination"
Piloto de Drones de Rescate,"Eres un piloto de rescate en una misión crítica. Debes volar tu dron a través de una tormenta. Programa el dron para que el sonido de las hélices sea suave cuando el dron está nivelado y apunta al Sur (hacia la base), pero que suene una alarma de 'turbulencia' si te inclinas demasiado a la izquierda o derecha.",11,14,3,"Audio Player, Compass, Inclination"
El Maestro Zen del Templo,"Para convertirte en un Maestro Zen, debes aprender a quedarte perfectamente quieto. Configura tu 'piedra de sabiduría' (el dispositivo) para que reproduzca el sonido de un gong suave y agua fluyendo solo si estás mirando hacia el Este (el amanecer) y tu dispositivo está perfectamente plano sobre tus rodillas.",9,12,1,"Audio Player, Compass, Inclination"
La Bóveda del Banco Secreto,"Eres un espía intentando abrir una caja fuerte antigua. La combinación no son números, ¡son movimientos! Debes programar la cerradura lógica: primero gira al Oeste, luego inclina el dispositivo 45 grados hacia adelante. Si lo haces en orden, sonará el 'clic' de apertura y ganarás el oro.",11,14,3,"Audio Player, Compass, Inclination"
El Museo Embrujado,"Trabajas en un museo donde las estatuas cobran vida por la noche. Crea un programa para que cuando apuntes tu linterna (dispositivo) hacia el Norte (donde está la momia) y levantes la mano (inclinación hacia arriba), la momia te cuente su historia terrorífica. Haz lo mismo para el vampiro en el Sur.",10,13,2,"Audio Player, Compass, Inclination"
Capitán de la Tormenta Perfecta,"¡Todos a bordo! Eres el capitán de un barco pesquero. El mar está picado. Programa tu barco para que suene la bocina de niebla cuando navegues hacia el Norte. Pero ten cuidado, si el barco se inclina mucho a los lados (eje X), ¡debe sonar la alarma de 'Hombre al Agua'!",9,12,1,"Audio Player, Compass, Inclination"
Cazafantasmas: La Señal Oculta,"Hay un fantasma escondido en la habitación y solo tu detector de ectoplasma puede encontrarlo. Configura el detector para que reproduzca estática fuerte, pero cuando apuntes exactamente al Sureste y inclines el dispositivo hacia abajo (buscando debajo de la cama), la estática desaparezca y se escuche al fantasma.",10,13,2,"Audio Player, Compass, Inclination"
Escuela de Magia y Hechicería,"Es tu examen final de magia. Debes lanzar el hechizo 'Leviosa'. Para lograrlo, debes apuntar tu varita al Oeste y hacer un movimiento suave hacia arriba (inclinación creciente). Si lo haces bien, sonará un efecto mágico brillante; si fallas, sonará una explosión cómica.",8,11,1,"Audio Player, Compass, Inclination"
El Robot Entrenador Personal,"Estás diseñando un robot para ayudar a los astronautas a mantenerse en forma. Programa la rutina de calentamiento: el astronauta debe girar 90 grados a la derecha y luego inclinar la cabeza hacia atrás. Cuando complete ambos movimientos, el robot debe decir '¡Excelente trabajo!' y tocar una fanfarria.",11,14,2,"Audio Player, Compass, Inclination"
La Flauta del Encantador de Serpientes,"Tienes una flauta mágica que controla animales. Crea un programa donde cada dirección cardinal sea una nota musical diferente. Apuntar al Norte toca un 'Do', al Este un 'Re'. Además, si inclinas la flauta hacia arriba, la nota debe sonar más fuerte para despertar a la serpiente.",10,13,2,"Audio Player, Compass, Inclination"
Sismógrafo de Alerta Temprana,"Eres un geólogo vigilando un volcán activo. Debes construir un dispositivo que avise al pueblo si la tierra se mueve. Si el sensor detecta cualquier cambio en la inclinación (la tierra se está levantando) sin importar la dirección, debe sonar una sirena de evacuación inmediata.",12,15,1,"Audio Player, Compass, Inclination"
Escape del Laberinto Oscuro,"Estás en una cueva totalmente oscura. Solo puedes oír. Programa tu dispositivo para navegar: si miras al Norte y te inclinas para caminar, suena 'pasos en grava'. Pero si miras al Oeste (donde hay una pared) y te inclinas, debe sonar un sonido de 'golpe' (¡Auch!).",11,14,3,"Audio Player, Compass, Inclination"
El Telescopio Parlanchín,"Construye un telescopio inteligente. Cuando apuntes alto hacia el cielo (inclinación > 60 grados) y gires hacia el Norte, el telescopio debe decir '¡Mira, es la Estrella Polar!'. Si bajas el telescopio (inclinación < 20), debe decir 'Estás mirando al suelo'.",9,12,2,"Audio Player, Compass, Inclination"
Director de Sonido en Vivo,"Es la noche de estreno de la obra escolar. Tú controlas el clima. Programa el sistema para que si inclinas el dispositivo a la izquierda bruscamente, suene un trueno. Si lo giras lentamente hacia el Sur, que comience a sonar una lluvia suave.",10,13,2,"Audio Player, Compass, Inclination"
