idea,descripcion,edad minima,edad maxima,nivel dificuldad,componentes
El Safari Invisible,"¡Convierte tu habitación en una reserva natural! Los estudiantes programarán el dispositivo para que, al girar sobre sí mismos, escuchen diferentes animales escondidos en los puntos cardinales. Deben encontrar dónde se esconde el león (Norte) o el elefante (Sur) solo usando sus oídos.",8,11,1,"Audio Player, Compass"
Agente Secreto: Interceptando el Mensaje,"Los estudiantes son espías que deben interceptar una transmisión enemiga. Deben programar la lógica para que solo en un ángulo muy específico (ej. 120 grados) se escuche el mensaje secreto, y en el resto solo se escuche ruido blanco.",10,13,2,"Audio Player, Compass"
El Maestro de la Sinfonía,"Los estudiantes aprenden sobre la disposición de una orquesta y programan su batuta digital. Al apuntar a la izquierda suenan los violines, al centro las flautas y a la derecha los chelos, permitiéndoles mezclar la música en tiempo real girando su cuerpo.",9,12,2,"Audio Player, Compass"
Búsqueda del Tesoro Pirata,"¡Hay un tesoro enterrado en una dirección secreta! Los alumnos deben crear un algoritmo de 'frio o caliente' usando sonido. Si el dispositivo apunta cerca del objetivo secreto, el sonido de 'ping' se reproduce más rápido.",10,14,2,"Audio Player, Compass"
Cuentos de Caminos Cruzados,"Los estudiantes escriben y programan una aventura de 'elige tu propio camino'. Al llegar a una bifurcación narrativa, el programa espera a que el usuario gire físicamente hacia el Este para entrar a la cueva o al Oeste para subir la montaña, reproduciendo el audio correspondiente.",11,15,2,"Audio Player, Compass"
Museo Escolar de Realidad Aumentada,"Transforma el aula en un museo. Los estudiantes asignan explicaciones de audio a diferentes rincones de la clase. Al apuntar con la tablet hacia la biblioteca, la pizarra o la ventana, el dispositivo explica la función de cada zona.",8,12,1,"Audio Player, Compass"
Astronauta Ciego en el Espacio,"Estás flotando en el espacio y no puedes ver. Los estudiantes programan un radar sonoro que asigna un sonido único a Marte, Júpiter y Saturno ubicados en grados específicos alrededor del usuario para poder orientar su nave.",10,13,2,"Audio Player, Compass"
El Gran Robo del Banco,"Los alumnos diseñan un juego de seguridad. Deben programar la lógica para detectar cuando el usuario ha girado exactamente a la derecha 90 grados, luego a la izquierda a 270. Solo si la secuencia es correcta y precisa, suena la alarma de 'bóveda abierta'.",12,16,3,"Audio Player, Compass"
Brújula Políglota,"Una actividad para combinar geografía e idiomas. Los estudiantes crean una herramienta que enseña cómo se dicen los puntos cardinales en diferentes idiomas. Al apuntar al Norte, el dispositivo debe decir 'North' o 'Nord' dependiendo de la configuración.",7,10,1,"Audio Player, Compass"
Cazafantasmas: La Habitación Encantada,¡Hay un fantasma invisible en el aula! Los estudiantes programan un detector de ectoplasma. Deben usar matemáticas para calcular la diferencia entre la dirección actual y la ubicación del fantasma para ajustar el volumen de los aullidos.,11,15,3,"Audio Player, Compass"
El DJ Giratorio,"¡Crea música con tu cuerpo! Los estudiantes dividen el espacio en 4 zonas de ritmo. Deben programar la app para que al mirar a una zona, suene una base de rap, y al girar a otra, cambie a techno, permitiendo mezclar estilos bailando.",10,14,2,"Audio Player, Compass"
Cazadores de Tormentas,"Simula estar en medio de un huracán. Los estudiantes deben programar la física del sonido para que el viento suene realista. Si encaras la tormenta, el volumen es máximo; si le das la espalda, se escucha amortiguado.",12,15,3,"Audio Player, Compass"
El Murciélago Humano,Los estudiantes exploran la accesibilidad creando una herramienta para navegar sin ver. Deben programar un sistema de 'bio-sonar' donde el tono del audio guía al usuario para caminar en línea recta hacia el Norte sin desviarse.,13,17,3,"Audio Player, Compass"
La Ruleta Humana de la Suerte,"Un juego para fiestas escolares. Los alumnos programan una ruleta donde el jugador es la aguja. Al detenerse el giro, el algoritmo detecta el ángulo y selecciona aleatoriamente un sonido de premio o una tarea divertida que el jugador debe realizar.",9,12,1,"Audio Player, Compass"
El Jardín de la Calma,"Diseña un espacio de relajación. Los estudiantes deben mapear sonidos relajantes a los puntos cardinales, creando transiciones suaves para que el usuario pueda 'visitar' diferentes paisajes naturales simplemente girando su silla.",10,14,2,"Audio Player, Compass"
Torre de Control: Aterrizaje de Emergencia,Los estudiantes asumen el rol de controladores aéreos. El sistema les dice 'Avión aproximándose por el Oeste'. Deben girar rápidamente al Oeste y presionar un botón (o esperar) para enviar la señal de radio de aterrizaje correcta.,11,14,2,"Audio Player, Compass"
Escapando del Laberinto Oscuro,"Desafío de lógica y memoria. Los estudiantes programan un laberinto virtual alrededor del usuario. Si miran hacia una dirección prohibida, suena un '¡Bong!' de choque. Deben encontrar el único ángulo que permite 'caminar' (sonido de pasos) para escapar.",12,16,3,"Audio Player, Compass"
La Vuelta al Mundo Musical,"¡Viaja sin moverte! Los estudiantes investigan dónde están ciertos países respecto a su escuela. Luego programan la brújula para que al apuntar hacia Brasil suene Samba, y al apuntar hacia Japón suene música tradicional Koto.",10,13,2,"Audio Player, Compass"
Buscador del Polo Norte Magnético,Una actividad científica. Los estudiantes crean una herramienta para exploradores que ayuda a identificar el Norte Magnético exacto. El dispositivo debe permanecer en silencio total y solo emitir un tono 'mágico' cuando la alineación es perfecta (0 grados).,8,11,1,"Audio Player, Compass"
El Reloj de Sol Sonoro,"Los estudiantes aprenden astronomía básica. Deben programar un reloj que no funciona con pilas, sino con orientación. Si es de mañana, deben apuntar al Este para escuchar la hora; si es tarde, al Oeste. Si apuntan mal, el reloj dice 'El sol no está ahí'.",9,12,2,"Audio Player, Compass"
El DJ de la Gravedad,"¡Conviértete en un DJ futurista! Crea un controlador donde la música obedece a tus manos. Programa el sistema para que, al levantar la punta de tu dispositivo, la música explote con potencia, y al bajarla, se desvanezca suavemente.",10,14,2,"Audio Player, Inclination"
El Desafío del Camarero Torpe,Trabajas en el restaurante más elegante de la ciudad y no puedes tirar nada. Programa tu 'bandeja inteligente' para que detecte si pierdes el equilibrio. Si te inclinas demasiado... ¡CRASH! Sonará el desastre.,8,12,1,"Audio Player, Inclination"
El Ladrón de Cajas Fuertes,Eres un espía intentando abrir una caja fuerte antigua. Gira el dial (tu dispositivo) muy lentamente. Debes encontrar el ángulo secreto exacto donde el mecanismo hace 'clic' para abrir la puerta y ganar el tesoro.,11,15,2,"Audio Player, Inclination"
Tu Propia Aventura Hablada,"Crea un libro que se escucha. Al llegar a una bifurcación en el camino, inclina tu dispositivo a la izquierda para entrar en la cueva oscura, o a la derecha para subir la montaña. ¡Tú decides cómo sigue la historia!",9,13,2,"Audio Player, Inclination"
Simulador de Moto de Carreras,"Convierte tu dispositivo en el manillar de una supermoto. Manténlo recto para escuchar el motor al ralentí, pero inclínalo hacia adelante para acelerar a fondo y escuchar cómo ruge el motor en la recta final.",7,10,1,"Audio Player, Inclination"
El Constructor Ciego,"Ayuda a construir una casa perfecta sin usar los ojos. Programa una herramienta que emita un sonido angelical solo cuando tu estantería esté perfectamente recta. Si se inclina, el sonido debe parar o cambiar a un tono de error.",12,16,3,"Audio Player, Inclination"
Nana para el Dragón Bebé,"Tienes un huevo de dragón que necesita dormir. Debes mecerlo suavemente de un lado a otro. Si lo haces con el ritmo correcto, escucharás sus ronquidos felices. ¡Cuidado no lo despiertes!",6,9,1,"Audio Player, Inclination"
Entrenamiento de Caballero Jedi,"Construye tu propio sable de luz. Prográmalo para que zumbe cuando estés en guardia (vertical), pero que haga sonidos de batalla 'WUSH' y 'CLASH' cuando inclines el sable para atacar a tus enemigos.",8,12,2,"Audio Player, Inclination"
La Orquesta Invisible,Crea música moviendo las manos en el aire. Inclina tu dispositivo hacia los lados para cambiar de nota y hacia adelante para subir el volumen. ¡Compón una melodía futurista sin tocar ninguna tecla!,13,17,3,"Audio Player, Inclination"
El Quiz del Movimiento,"¡Pon a prueba tus conocimientos! El dispositivo te hará una pregunta. Si crees que es verdad, inclínate a la izquierda; si es mentira, a la derecha. Escucharás aplausos si aciertas o abucheos si fallas.",9,12,2,"Audio Player, Inclination"
El Entrenador de Espalda Recta,"¡No te encorves! Diseña un dispositivo inteligente que vigile tu postura mientras estudias. Si te inclinas demasiado sobre la mesa, el entrenador te avisará con un pitido molesto para que te sientes bien.",11,15,2,"Audio Player, Inclination"
El Chamán de la Lluvia,"Recrea el sonido relajante de la lluvia. Programa tu dispositivo para que, al inclinarlo lentamente como si fuera un palo lleno de semillas, suene el agua caer. Si lo detienes, la lluvia para.",8,11,1,"Audio Player, Inclination"
El Oráculo de Bolsillo,"Hazle una pregunta al futuro. Pon tu dispositivo boca abajo para 'mezclar' el destino y, al darle la vuelta rápidamente, el Oráculo te hablará con la respuesta definitiva a tu problema.",10,14,3,"Audio Player, Inclination"
Misión a Marte: Despegue,"El cohete está en la plataforma horizontal. Para iniciar la misión, debes levantar el cohete a posición vertical exacta. En ese momento, comenzará la cuenta atrás: 3, 2, 1... ¡Despegue!",7,10,1,"Audio Player, Inclination"
Explorador de Mundos,"Viaja por el mundo sin moverte. Inclina tu dispositivo hacia adelante para escuchar los vientos del Polo Norte, o hacia la izquierda para oír las olas del Océano Pacífico. ¡Crea tu propio mapa sonoro!",9,13,2,"Audio Player, Inclination"
Alerta Sísmica para Lego,"Protege tu ciudad de bloques. Coloca el sensor en la base de tu torre más alta. Si alguien golpea la mesa o la torre empieza a inclinarse por un terremoto, ¡la sirena debe sonar para evacuar a los muñecos!",8,12,1,"Audio Player, Inclination"
Tarjetas Flash Parlantes,Aprende inglés de forma mágica. Escucha una palabra. ¿Sabes qué significa? Voltea tu dispositivo boca abajo para revelar la respuesta en el otro idioma. ¡Es como tener un profesor nativo en tu mano!,10,15,2,"Audio Player, Inclination"
El Gym Bot,"¡Ponte en forma con tecnología! Programa tu entrenador personal. Sujétalo al pecho y haz una sentadilla. Solo si bajas con el ángulo correcto, el robot contará '¡Uno!'. Si haces trampa, no contará.",12,16,3,"Audio Player, Inclination"
El Laberinto Invisible,"Estás atrapado en un laberinto totalmente oscuro. Inclina el dispositivo para moverte. Usa tus oídos: si escuchas un 'bonk' a la izquierda, hay pared. ¡Encuentra la salida guiándote solo por el sonido!",11,15,3,"Audio Player, Inclination"
Efectos de Casa Encantada,"Eres el encargado de los efectos especiales en una obra de teatro de terror. Usa tu dispositivo como una palanca gigante. Al bajarla, haz que suene un trueno o un chirrido de puerta vieja cerrándose.",7,10,1,"Audio Player, Inclination"
La Caja Fuerte de los Espías,"¡Protege tus secretos! Crea un sistema de seguridad para tu caja de tesoros. Si alguien la abre y la luz entra (detectado por el sensor), debe sonar una alarma de emergencia para ahuyentar a los intrusos.",9,12,1,"Audio Player, Light Intensity"
DJ Mágico: Mezclando con el Sol,Conviértete en un DJ que controla la música con la luz. Programarás el reproductor para que el volumen de la canción cambie automáticamente según cuánta luz reciba el sensor. ¡Tapa el sensor para bajar la música!,11,14,2,"Audio Player, Light Intensity"
El Grillo Tímido del Bosque,"Vamos a crear un grillo digital que solo canta de noche. Tu misión es programar el sensor para que detecte la oscuridad. Si cubres el sensor con tu mano, el grillo debe empezar a cantar; si lo quitas, debe callarse.",8,11,1,"Audio Player, Light Intensity"
Cazadores de Tormentas,"Simula una tormenta eléctrica. Usa una linterna para crear un 'rayo' sobre el sensor. El programa debe detectar el flash de luz, esperar unos segundos y luego reproducir un estruendoso trueno.",10,13,2,"Audio Player, Light Intensity"
La Radio de Supervivencia Marciana,Estás en Marte y tu radio solo funciona con paneles solares. Programa el sistema para que la transmisión de la base solo se escuche cuando el sol (una lámpara o linterna) ilumine directamente el sensor.,9,12,1,"Audio Player, Light Intensity"
El Timbre Invisible,"Crea un timbre que no necesita botones. Coloca el sensor donde pase gente; cuando su sombra cubra el sensor, el sistema debe saludar automáticamente o tocar una nota musical.",10,14,2,"Audio Player, Light Intensity"
Exploradores de Cuevas: Encuentra el Oro,"El tesoro está escondido en la oscuridad. Usa tu linterna para buscarlo. Programa el sensor para que, al ser iluminado directamente por el haz de luz, reproduzca el sonido triunfal de ¡Tesoro Encontrado!",8,10,1,"Audio Player, Light Intensity"
El Arpa de Rayos Láser,"Construye un instrumento del futuro. Tienes un haz de luz invisible; cuando pasas tu mano a través de él (cortando la luz que llega al sensor), debe sonar una nota musical mágica.",12,15,3,"Audio Player, Light Intensity"
Despertador Inteligente: Amanecer Musical,"Ayuda a la gente a despertar feliz. Si hay poca luz, reproduce pajaritos suaves. Si la luz es muy fuerte (ya es tarde), ¡reproduce una alarma de rock para que se levanten rápido!",11,14,2,"Audio Player, Light Intensity"
¿Dónde duerme el Monstruo?,"¡Crea un detector de monstruos! Programa el dispositivo para que, cuando esté en oscuridad total (como debajo de una cama o dentro de un armario), se escuchen ronquidos graciosos de monstruo.",7,10,1,"Audio Player, Light Intensity"
El Museo del Futuro,"Diseña una exhibición interactiva. Cuando el foco de luz ilumine la obra de arte (el sensor), el sistema debe empezar a contar la historia de esa pieza automáticamente a los visitantes.",10,13,2,"Audio Player, Light Intensity"
La Mano Mágica Musical,"Controla la música sin tocar nada. Mueve tu mano arriba y abajo sobre el sensor. Cuanto más acerques tu mano (más sombra), más agudo o rápido debe sonar el audio.",12,15,3,"Audio Player, Light Intensity"
Telégrafo de Luz: Mensajes Secretos,"Envía mensajes secretos a tu amigo usando una linterna. Programa el sensor para que cada vez que reciba un flash de luz, haga un sonido 'BEEP'. ¡Así podrás transmitir código Morse!",11,14,2,"Audio Player, Light Intensity"
La Planta que Odia el Sol,"Tienes una planta vampiro que se quema con el sol. Crea un sensor que la proteja: si detecta demasiada luz brillante, debe gritar '¡Me quemo!' para que corras a ponerla en la sombra.",9,12,1,"Audio Player, Light Intensity"
El Libro Mágico que Habla,"Haz que tu diario cobre vida. Si el libro está cerrado (oscuro), susurra secretos. Si abres la tapa y entra la luz, empieza a contar una historia de aventuras en voz alta.",10,13,2,"Audio Player, Light Intensity"
Reto de Reflejos: ¡Luz Verde!,"Pon a prueba tus reflejos. Espera en silencio... y en el momento exacto en que alguien encienda la luz de la habitación, tu programa debe disparar un sonido de '¡GOL!' instantáneamente.",11,14,2,"Audio Player, Light Intensity"
Caza-Fantasmas: Detector de Parpadeos,"Dicen que cuando un fantasma está cerca, las luces parpadean. Programa tu detector para que, si la luz sube y baja rápidamente, reproduzca un sonido de fantasma espeluznante.",10,13,3,"Audio Player, Light Intensity"
La Caja de Música Tímida,Esta caja de música es muy tímida y no le gusta que la miren. Solo tocará su melodía si cubres el sensor con tus manos para dejarla totalmente a oscuras.,8,11,1,"Audio Player, Light Intensity"
El Guardián del Helado,"¡No dejes que el helado se derrita! Coloca el sensor en la 'nevera' (una caja). Si detecta luz durante más de 10 segundos (puerta abierta), debe sonar una sirena para avisarte.",10,14,2,"Audio Player, Light Intensity"
Submarino en Misión Profunda,"Baja a las profundidades del océano. A medida que tapas el sensor (haciéndolo más oscuro), el sonido del sonar del submarino debe cambiar para indicar que estás llegando al fondo del mar.",11,15,3,"Audio Player, Light Intensity"
Las Estatuas Musicales Automáticas,"¡Crea el árbitro perfecto para el juego de las estatuas! Programa el dispositivo para que toque tu canción favorita mientras bailas, pero cuidado: si el sensor deja de sentir tu baile, la música se cortará automáticamente. ¡El que se mueva sin música pierde!",6,9,1,"Audio Player, Motion"
El Guardián de la Mochila,"¿Hermanos curiosos o compañeros de clase bromistas? Protege tu mochila o diario secreto. Configura el sensor para que, al detectar el más mínimo movimiento no autorizado, suene una alarma ensordecedora.",8,12,1,"Audio Player, Motion"
Entrenamiento de Caballero Jedi,Convierte un palo de escoba o un tubo de cartón en una espada láser. Programa el dispositivo para que suene un zumbido eléctrico cuando lo muevas suavemente y un sonido de choque cuando hagas un movimiento brusco de ataque.,9,14,2,"Audio Player, Motion"
Súper Mario en la Vida Real,"¡Convierte tu recreo en un videojuego! Ponte el dispositivo en el bolsillo y configúralo para que cada vez que saltes, suene el clásico sonido de 'moneda' o 'boing'. ¿Cuántas monedas puedes recolectar en un minuto?",7,11,1,"Audio Player, Motion"
Escuela de Magia: Clase de Hechizos,"No eres un muggle cualquiera. Programa tu varita para que responda a tus gestos. Si agitas la varita con fuerza, lanza un hechizo sonoro. ¡Perfecto para obras de teatro o juegos de rol!",8,12,1,"Audio Player, Motion"
DJ Maratonista,"Diseña una aplicación deportiva inteligente. Si estás caminando, suena música relajante. Pero si el sensor detecta que empiezas a correr rápido, ¡cambia automáticamente a rock o electrónica de alta energía para motivarte!",12,16,3,"Audio Player, Motion"
Banda de Rock Invisible,¡Crea música sin instrumentos! Configura el dispositivo para que actúe como una pandereta digital. Tendrás que programar la sensibilidad para que suene exactamente al ritmo que agitas la mano.,6,10,1,"Audio Player, Motion"
Sismógrafo de Alerta Temprana,"Aprende sobre geología y seguridad. Construye una estación sísmica que monitoree la mesa. Si alguien la golpea o la mueve simulando un terremoto, el sistema debe activar la alarma de evacuación inmediatamente.",10,14,2,"Audio Player, Motion"
